Precinct,Borough,Zip Code
1,Manhattan,10003
1,Manhattan,10004
1,Manhattan,10005
1,Manhattan,10006
1,Manhattan,10007
1,Manhattan,10008
1,Manhattan,10011
1,Manhattan,10012
1,Manhattan,10013
1,Manhattan,10014
1,Manhattan,10038
1,Manhattan,10041
1,Manhattan,10043
1,Manhattan,10045
1,Manhattan,10080
1,Manhattan,10081
1,Manhattan,10268
1,Manhattan,10271
1,Manhattan,10272
1,Manhattan,10274
1,Manhattan,10278
1,Manhattan,10279
1,Manhattan,10280
1,Manhattan,10281
1,Manhattan,10282
1,Manhattan,10285
5,Manhattan,10002
5,Manhattan,10003
5,Manhattan,10007
5,Manhattan,10012
5,Manhattan,10013
5,Manhattan,10038
5,Manhattan,10278
6,Manhattan,10001
6,Manhattan,10003
6,Manhattan,10010
6,Manhattan,10011
6,Manhattan,10012
6,Manhattan,10014
6,Manhattan,10119
6,Manhattan,10121
7,Manhattan,10002
7,Manhattan,10003
7,Manhattan,10009
7,Manhattan,10038
9,Manhattan,10002
9,Manhattan,10003
9,Manhattan,10009
9,Manhattan,10010
9,Manhattan,10011
9,Manhattan,10012
9,Manhattan,10276
10,Manhattan,10001
10,Manhattan,10010
10,Manhattan,10011
10,Manhattan,10014
10,Manhattan,10018
10,Manhattan,10019
10,Manhattan,10036
10,Manhattan,10108
10,Manhattan,10113
10,Manhattan,10116
10,Manhattan,10119
10,Manhattan,10121
10,Manhattan,10129
10,Manhattan,10199
13,Manhattan,10001
13,Manhattan,10003
13,Manhattan,10009
13,Manhattan,10010
13,Manhattan,10011
13,Manhattan,10016
13,Manhattan,10159
14,Manhattan,10001
14,Manhattan,10016
14,Manhattan,10017
14,Manhattan,10018
14,Manhattan,10020
14,Manhattan,10036
14,Manhattan,10110
14,Manhattan,10118
14,Manhattan,10119
14,Manhattan,10120
14,Manhattan,10122
14,Manhattan,10123
14,Manhattan,10156
14,Manhattan,10163
14,Manhattan,10165
14,Manhattan,10166
14,Manhattan,10167
14,Manhattan,10168
14,Manhattan,10169
14,Manhattan,10170
14,Manhattan,10171
14,Manhattan,10172
14,Manhattan,10173
14,Manhattan,10174
14,Manhattan,10175
14,Manhattan,10176
14,Manhattan,10177
14,Manhattan,10178
14,Manhattan,10179
17,Manhattan,10016
17,Manhattan,10017
17,Manhattan,10018
17,Manhattan,10022
17,Manhattan,10150
17,Manhattan,10156
17,Manhattan,10158
17,Manhattan,10168
17,Manhattan,10178
18,Manhattan,10017
18,Manhattan,10019
18,Manhattan,10020
18,Manhattan,10022
18,Manhattan,10023
18,Manhattan,10024
18,Manhattan,10026
18,Manhattan,10036
18,Manhattan,10055
18,Manhattan,10065
18,Manhattan,10069
18,Manhattan,10101
18,Manhattan,10103
18,Manhattan,10104
18,Manhattan,10105
18,Manhattan,10106
18,Manhattan,10107
18,Manhattan,10110
18,Manhattan,10111
18,Manhattan,10112
18,Manhattan,10151
18,Manhattan,10152
18,Manhattan,10153
18,Manhattan,10154
18,Manhattan,10155
18,Manhattan,10163
18,Manhattan,10166
18,Manhattan,10167
18,Manhattan,10169
18,Manhattan,10170
18,Manhattan,10171
18,Manhattan,10172
18,Manhattan,10173
18,Manhattan,10174
18,Manhattan,10175
18,Manhattan,10176
18,Manhattan,10177
18,Manhattan,10179
18,Manhattan,10185
19,Manhattan,10021
19,Manhattan,10022
19,Manhattan,10028
19,Manhattan,10065
