zip_code,precincts,total_complaints,high_force_arrests,high_force_pct,substantiated,substantiated_pct,severity_index
10122,14,3205,146,5,189,6,4308
10118,14,3205,146,5,189,6,4308
10165,14,3205,146,5,189,6,4308
10123,14,3205,146,5,189,6,4308
10120,14,3205,146,5,189,6,4308
10037,32 25,4680,306,7,366,8,3546
10171,14 18,5344,222,4,303,6,3528
10174,14 18,5344,222,4,303,6,3528
10169,14 18,5344,222,4,303,6,3528
10166,14 18,5344,222,4,303,6,3528
10176,14 18,5344,222,4,303,6,3528
10110,14 18,5344,222,4,303,6,3528
10175,14 18,5344,222,4,303,6,3528
10163,14 18,5344,222,4,303,6,3528
10172,14 18,5344,222,4,303,6,3528
10170,14 18,5344,222,4,303,6,3528
10173,14 18,5344,222,4,303,6,3528
10167,14 18,5344,222,4,303,6,3528
10179,14 18,5344,222,4,303,6,3528
10177,14 18,5344,222,4,303,6,3528
10020,14 18,5344,222,4,303,6,3528
10029,25 23,4420,302,7,358,8,3412
10035,32 25 23 28,8788,591,7,675,8,3345
10036,14 18 10,6529,277,4,365,6,2895
10030,32 28 30,5789,366,6,430,7,2887
10156,14 17,4176,177,4,234,6,2764
10168,14 17,4176,177,4,234,6,2764
10178,14 17,4176,177,4,234,6,2764
10151,18,2139,76,4,114,5,2749
10055,18,2139,76,4,114,5,2749
10154,18,2139,76,4,114,5,2749
10152,18,2139,76,4,114,5,2749
10112,18,2139,76,4,114,5,2749
10101,18,2139,76,4,114,5,2749
10111,18,2139,76,4,114,5,2749
10104,18,2139,76,4,114,5,2749
10153,18,2139,76,4,114,5,2749
10106,18,2139,76,4,114,5,2749
10155,18,2139,76,4,114,5,2749
10105,18,2139,76,4,114,5,2749
10107,18,2139,76,4,114,5,2749
10103,18,2139,76,4,114,5,2749
10185,18,2139,76,4,114,5,2749
10119,14 6 10,5882,287,5,337,6,2680
10039,32 33 30,5307,320,6,401,8,2633
10032,32 34 33 30,7054,410,6,535,8,2613
10001,14 6 13 10,7359,349,5,426,6,2514
10027,32 25 28 30 24 26,10043,628,6,768,8,2507
10018,14 10 17,5361,232,4,296,6,2385
10033,34 33,3196,173,5,240,8,2346
10040,34 33,3196,173,5,240,8,2346
10031,32 33 30 26,6200,375,6,466,8,2307
10128,25 23 19 22,5751,344,6,440,8,2141
10026,25 23 18 28 24 26 20 22,11434,662,6,821,7,2087
10276,9,1442,79,5,80,6,2084
10017,14 18 17 108,6316,254,4,348,6,2070
10159,13,1477,62,4,89,6,2014
10019,23 18 28 10 20 22,8365,455,5,545,7,1991
10024,23 18 28 24 20 22,8298,461,6,572,7,1989
10011,1 6 13 9 10,7094,339,5,402,6,1957
10012,1 6 9 5,5609,278,5,323,6,1957
10281,1,1498,57,4,85,6,1954
10280,1,1498,57,4,85,6,1954
10268,1,1498,57,4,85,6,1954
10080,1,1498,57,4,85,6,1954
10282,1,1498,57,4,85,6,1954
10274,1,1498,57,4,85,6,1954
10006,1,1498,57,4,85,6,1954
10008,1,1498,57,4,85,6,1954
10279,1,1498,57,4,85,6,1954
10285,1,1498,57,4,85,6,1954
10023,18 20,2975,114,4,166,6,1951
10069,18 20,2975,114,4,166,6,1951
10003,1 6 13 9 5 7,8193,416,5,486,6,1919
10014,1 6 10,4175,198,5,233,6,1895
10121,6 10,2677,141,5,148,6,1866
10007,1 5,2675,113,4,157,6,1820
10013,1 5,2675,113,4,157,6,1820
10278,1 5,2675,113,4,157,6,1820
10199,10,1185,55,5,62,5,1628
10116,10,1185,55,5,62,5,1628
10129,10,1185,55,5,62,5,1628
10108,10,1185,55,5,62,5,1628
10113,10,1185,55,5,62,5,1628
10162,19,1234,41,3,74,6,1613
10010,6 13 9 10 94,5597,282,5,317,6,1566
10016,14 13 17 94 108,5655,240,4,323,6,1509
10065,18 19 22,3470,118,3,196,6,1496
10025,28 24 26 22,4039,246,6,297,7,1493
10022,18 19 17 22,4441,149,3,241,5,1427
10150,19 17,2205,72,3,119,5,1416
10002,9 5 7 84,3728,211,6,226,6,1360
10115,26,893,55,6,65,7,1329
10038,1 5 7 84,3784,189,5,231,6,1328
10034,34 50,1753,91,5,134,8,1282
10158,17,971,31,3,45,5,1220
10009,13 9 7 90 94,4030,217,5,243,6,1155
10043,1 84,1500,57,4,85,6,978
10081,1 84,1500,57,4,85,6,978
10272,1 84,1500,57,4,85,6,978
10271,1 84,1500,57,4,85,6,978
10045,1 84,1500,57,4,85,6,978
10005,1 84,1500,57,4,85,6,978
10041,1 84,1500,57,4,85,6,978
10004,1 84,1500,57,4,85,6,978
10021,19 22,1331,42,3,82,6,870
10028,19 22,1331,42,3,82,6,870
10075,19 22,1331,42,3,82,6,870
10044,114,17,0,0,2,12,22
