zip_code,problem,score,rationale
10000,Street Light Condition,10,Champion of the shadows — 389 complaints about dodgy street lights.
10000,Traffic Signal Condition,1,Just 47 complaints; the signals here mostly behave themselves.
10001,Traffic Signal Condition,7,308 signal complaints — the traffic lights here clearly have opinions.
10001,Street Light Condition,4,"154 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10002,Traffic Signal Condition,10,No ZIP breaks more traffic lights — 415 complaints and endless honking.
10002,Street Light Condition,7,271 complaints logged; someone keeps forgetting to change the bulbs.
10003,Street Light Condition,5,"179 dim-bulb complaints: moody lighting, decidedly mixed reviews."
10003,Traffic Signal Condition,5,"227 signal complaints: middling mayhem, respectable amount of honking."
10004,Traffic Signal Condition,2,Just 87 complaints; the signals here mostly behave themselves.
10004,Street Light Condition,1,Just 50 complaints; the street lamps mostly do their job.
10005,Street Light Condition,1,Only 23 street-light complaints — surprisingly well-lit sidewalks here.
10005,Traffic Signal Condition,1,Only 44 signal complaints — refreshingly obedient traffic lights.
10006,Traffic Signal Condition,1,Just 22 complaints; the signals here mostly behave themselves.
10006,Street Light Condition,0,15 complaints total; these sidewalks are almost suspiciously bright.
10007,Traffic Signal Condition,3,Only 113 signal complaints — refreshingly obedient traffic lights.
10007,Street Light Condition,2,Only 68 street-light complaints — surprisingly well-lit sidewalks here.
10009,Traffic Signal Condition,5,"221 signal complaints: middling mayhem, respectable amount of honking."
10009,Street Light Condition,3,Only 125 street-light complaints — surprisingly well-lit sidewalks here.
10010,Traffic Signal Condition,3,Only 128 signal complaints — refreshingly obedient traffic lights.
10010,Street Light Condition,2,Only 77 street-light complaints — surprisingly well-lit sidewalks here.
10011,Street Light Condition,6,"A middling 219 complaints — atmospheric, if you're feeling generous."
10011,Traffic Signal Condition,6,"A solid 251 complaints — the lights misbehave, but politely."
10012,Traffic Signal Condition,5,"212 signal complaints: middling mayhem, respectable amount of honking."
10012,Street Light Condition,3,Only 130 street-light complaints — surprisingly well-lit sidewalks here.
10013,Traffic Signal Condition,7,273 complaints logged; intersections run on chaos and vibes.
