year,flag_in_manhattan,zip_code,number_complaints,dominant_subtype
2026,1,10001,3512,Residential
2026,1,10002,10206,Residential
2026,1,10003,5383,Residential
2026,1,10004,981,Commercial
2026,1,10005,987,general
2026,1,10006,391,general
2026,1,10007,494,general
2026,1,10009,6598,Residential
2026,1,10010,1881,Residential
2026,1,10011,4464,Residential
2026,1,10012,3451,Street/Sidewalk
2026,1,10013,3621,Street/Sidewalk
2026,1,10014,3384,Residential
2026,1,10016,7305,Residential
2026,1,10017,1407,general
2026,1,10018,1561,general
2026,1,10019,4507,Residential
2026,1,10021,1414,general
2026,1,10022,1768,general
2026,1,10023,8895,Helicopter
2026,1,10024,3315,Residential
2026,1,10025,7052,Residential
2026,1,10026,6629,Street/Sidewalk
2026,1,10027,7545,Residential
2026,1,10028,2243,general
2026,1,10029,10591,Residential
2026,1,10030,4828,Residential
2026,1,10031,10700,Residential
2026,1,10032,10877,Street/Sidewalk
2026,1,10033,8457,Street/Sidewalk
2026,1,10034,7962,Street/Sidewalk
2026,1,10035,3707,Residential
2026,1,10036,3481,Residential
2026,1,10037,1599,Residential
2026,1,10038,1381,Residential
2026,1,10039,4949,Residential
2026,1,10040,7993,Residential
2026,1,10044,221,Residential
2026,1,10065,1579,general
2026,1,10069,100,Residential
2026,1,10075,996,general
2026,1,10128,2255,Residential
2026,1,10280,546,Helicopter
2026,1,10282,112,general
