zip_code,number_inspections,year,flag_in_manhattan
10001,406,2026,1
10002,"1,484",2026,1
10003,"1,281",2026,1
10004,10,2026,1
10005,4,2026,1
10006,6,2026,1
10007,97,2026,1
10009,"1,489",2026,1
10010,50,2026,1
10011,"1,751",2026,1
10012,671,2026,1
10013,441,2026,1
10014,946,2026,1
10016,44,2026,1
10017,5,2026,1
10018,268,2026,1
10019,703,2026,1
10021,51,2026,1
10022,41,2026,1
10023,99,2026,1
10024,620,2026,1
10025,630,2026,1
10026,"1,063",2026,1
10027,"2,215",2026,1
10028,91,2026,1
10029,"1,526",2026,1
10030,"1,170",2026,1
10031,"1,503",2026,1
10032,243,2026,1
10033,255,2026,1
10034,120,2026,1
10035,"1,365",2026,1
10036,730,2026,1
10037,365,2026,1
10038,108,2026,1
10039,314,2026,1
10040,78,2026,1
10041,1,2026,1
10065,38,2026,1
10069,3,2026,1
10075,105,2026,1
10115,1,2026,1
10128,320,2026,1
10162,1,2026,1
10280,4,2026,1
10282,2,2026,1
10301,32,2026,0
10302,30,2026,0
10303,34,2026,0
10304,30,2026,0
10305,34,2026,0
10306,46,2026,0
10307,7,2026,0
10308,18,2026,0
10309,16,2026,0
10310,49,2026,0
10312,49,2026,0
10314,61,2026,0
10451,589,2026,0
10452,"1,511",2026,0
10453,"1,185",2026,0
10454,65,2026,0
10455,112,2026,0
10456,"2,653",2026,0
10457,"2,204",2026,0
10458,"1,779",2026,0
10459,"1,365",2026,0
10460,773,2026,0
10461,52,2026,0
10462,223,2026,0
10463,115,2026,0
10464,1,2026,0
10465,26,2026,0
10466,71,2026,0
10467,253,2026,0
10468,714,2026,0
10469,64,2026,0
10470,33,2026,0
10471,54,2026,0
10472,167,2026,0
10473,57,2026,0
10474,336,2026,0
10475,10,2026,0
11001,1,2026,0
11004,8,2026,0
11040,1,2026,0
11101,113,2026,0
11102,97,2026,0
11103,341,2026,0
11104,49,2026,0
11105,85,2026,0
11106,77,2026,0
11109,2,2026,0
11201,223,2026,0
11203,93,2026,0
11204,40,2026,0
11205,"1,338",2026,0
11206,"2,546",2026,0
11207,"2,038",2026,0
11208,69,2026,0
11209,71,2026,0
11210,90,2026,0
11211,404,2026,0
11212,110,2026,0
11213,"2,642",2026,0
11214,55,2026,0
11215,135,2026,0
11216,"5,911",2026,0
11217,81,2026,0
11218,121,2026,0
11219,37,2026,0
11220,116,2026,0
11221,"8,600",2026,0
11222,623,2026,0
11223,48,2026,0
11224,42,2026,0
11225,"1,326",2026,0
11226,293,2026,0
11228,18,2026,0
11229,50,2026,0
11230,117,2026,0
11231,75,2026,0
11232,72,2026,0
11233,"3,843",2026,0
11234,59,2026,0
11235,93,2026,0
11236,49,2026,0
11237,"3,825",2026,0
11238,"2,644",2026,0
11239,11,2026,0
11249,44,2026,0
11354,43,2026,0
11355,34,2026,0
11356,15,2026,0
11357,25,2026,0
11358,29,2026,0
11360,3,2026,0
11361,22,2026,0
11362,5,2026,0
11363,3,2026,0
11364,10,2026,0
11365,24,2026,0
11366,19,2026,0
11367,36,2026,0
11368,80,2026,0
11369,57,2026,0
11370,25,2026,0
11372,298,2026,0
11373,59,2026,0
11374,60,2026,0
11375,56,2026,0
11377,119,2026,0
11378,39,2026,0
11379,45,2026,0
11385,207,2026,0
11411,7,2026,0
11412,7,2026,0
11413,20,2026,0
11414,13,2026,0
11415,22,2026,0
11416,7,2026,0
11417,31,2026,0
11418,19,2026,0
11419,56,2026,0
11420,39,2026,0
11421,17,2026,0
11422,5,2026,0
11423,15,2026,0
11426,13,2026,0
11427,7,2026,0
11428,19,2026,0
11429,16,2026,0
11430,1,2026,0
11432,84,2026,0
11433,46,2026,0
11434,49,2026,0
11435,44,2026,0
11436,22,2026,0
11691,40,2026,0
11692,7,2026,0
11693,16,2026,0
11694,19,2026,0
12345,4,2026,0
